Dept,quarter,n,n_markdown,baseline_mean,slope,marginal_ROI,pvalue
47,1,184,66,-11.7,-0.3508,0.029994,0.1406
47,2,159,58,-18.6,-0.2183,0.011728,0.3833
47,3,152,43,-31.7,-0.9199,0.029005,0.0053
47,4,151,57,-25.6,-0.6375,0.024936,0.4638
85,1,1397,548,2317.4,33.7639,0.01457,0.0
85,2,1653,550,2314.8,49.0836,0.021204,0.0
85,3,1685,541,2328.5,45.627,0.019595,0.0
85,4,1320,511,2304.7,68.2966,0.029634,0.0
36,1,1224,480,2034.6,19.6811,0.009673,0.0029
36,2,1444,482,2038.7,49.6826,0.02437,0.0043
36,3,1480,481,2040.1,46.8708,0.022974,0.0
36,4,1147,444,2040.1,56.1932,0.027544,0.0069
30,1,1221,481,4283.0,38.9581,0.009096,0.0
30,2,1443,481,4283.0,112.4785,0.026262,0.0
30,3,1480,481,4283.0,79.88,0.018651,0.0
30,4,1147,444,4283.0,93.1057,0.021738,0.0
56,1,1331,546,3955.2,56.8265,0.014368,0.0
56,2,1642,556,3814.5,167.7444,0.043976,0.0005
56,3,1615,540,3968.4,-16.5538,-0.004171,0.117
56,4,1284,515,3865.4,64.0683,0.016575,0.0001
37,1,594,234,3136.0,14.573,0.004647,0.0066
37,2,702,234,3136.0,60.5174,0.019298,0.0
37,3,722,234,3127.3,53.5704,0.01713,0.0
37,4,559,217,3130.3,88.9482,0.028415,0.0
16,1,1485,585,14746.7,164.2323,0.011137,0.0
16,2,1755,585,14746.7,507.9783,0.034447,0.0
16,3,1800,585,14746.7,118.0217,0.008003,0.0
16,4,1395,540,14746.7,158.7208,0.010763,0.0
21,1,1485,585,5075.1,28.1698,0.005551,0.0
21,2,1755,585,5075.1,70.6181,0.013915,0.0
21,3,1800,585,5075.1,59.7205,0.011767,0.0
21,4,1395,540,5075.1,50.4187,0.009934,0.0
58,1,1019,384,3658.7,23.2948,0.006367,0.0059
58,2,1187,392,3699.6,63.7183,0.017223,0.0002
58,3,1223,394,3678.0,32.7062,0.008892,0.0088
58,4,961,368,3661.5,18.1878,0.004967,0.4346
6,1,1367,531,5181.4,49.2264,0.009501,0.0
6,2,1628,534,5142.0,44.7726,0.008707,0.0006
6,3,1677,537,5119.9,32.1182,0.006273,0.0002
6,4,1314,494,5064.3,-18.0178,-0.003558,0.2566
31,1,1391,559,2403.7,5.9086,0.002458,0.0691
31,2,1644,547,2403.6,4.178,0.001738,0.0465
31,3,1730,576,2343.4,13.9986,0.005974,0.0
31,4,1302,506,2412.2,30.7725,0.012757,0.0015
3,1,1485,585,11699.1,26.7366,0.002285,0.0001
3,2,1755,585,11699.1,-103.3551,-0.008834,0.0
3,3,1800,585,11699.1,148.7391,0.012714,0.045
3,4,1395,540,11699.1,73.1695,0.006254,0.0
34,1,1232,483,15553.6,50.7689,0.003264,0.0
34,2,1450,481,15617.9,47.8877,0.003066,0.0074
34,3,1487,481,15619.8,6.1825,0.000396,0.5674
34,4,1157,445,15558.1,65.6711,0.004221,0.0
9,1,1447,575,20165.6,105.9954,0.005256,0.0
9,2,1745,585,19763.6,-37.0766,-0.001876,0.0785
9,3,1798,585,19673.2,78.3394,0.003982,0.0089
9,4,1364,534,20096.6,45.3823,0.002258,0.0183
25,1,1460,568,9064.3,28.3288,0.003125,0.0
25,2,1743,574,8973.4,15.0463,0.001677,0.0002
25,3,1776,570,9032.3,9.1206,0.00101,0.0029
25,4,1375,527,9041.4,40.9464,0.004529,0.0001
50,1,357,144,2663.4,6.9031,0.002592,0.0597
50,2,421,143,2670.0,40.7366,0.015257,0.0
50,3,438,143,2642.9,1.9827,0.00075,0.8118
50,4,346,133,2604.1,-2.7466,-0.001055,0.9263
20,1,1347,537,5737.0,5.735,0.001,0.1135
20,2,1675,581,5455.0,16.3145,0.002991,0.0002
20,3,1746,575,5367.9,15.3678,0.002863,0.0
20,4,1264,496,5743.2,15.2419,0.002654,0.1501
35,1,1221,481,2938.6,9.8873,0.003365,0.0072
35,2,1443,481,2938.6,38.6659,0.013158,0.0
35,3,1480,481,2938.6,34.0442,0.011585,0.0002
35,4,1153,445,2923.4,4.1468,0.001418,0.2788
12,1,1473,585,4238.1,13.8996,0.00328,0.0
12,2,1745,585,4228.0,7.814,0.001848,0.0002
12,3,1799,585,4206.4,18.5888,0.004419,0.0
12,4,1392,540,4213.1,8.271,0.001963,0.2699
17,1,1484,584,10197.2,23.9319,0.002347,0.0
17,2,1747,577,10236.3,36.5715,0.003573,0.0
17,3,1792,577,10235.1,38.5831,0.00377,0.0
17,4,1389,536,10233.7,8.2434,0.000806,0.2453
11,1,1484,585,14493.8,36.5831,0.002524,0.0
11,2,1755,585,14484.2,26.5829,0.001835,0.3907
11,3,1800,585,14484.2,76.2642,0.005265,0.0005
11,4,1395,540,14484.2,9.0622,0.000626,0.328
67,1,1485,585,7326.0,-17.467,-0.002384,0.062
67,2,1755,585,7326.0,71.4489,0.009753,0.0002
67,3,1800,585,7326.0,-36.4982,-0.004982,0.0
67,4,1395,540,7326.0,59.6409,0.008141,0.0
42,1,1466,582,5135.8,-9.1358,-0.001779,0.0026
42,2,1740,580,5114.0,1.5154,0.000296,0.5586
42,3,1800,585,5070.9,19.1521,0.003777,0.0
42,4,1395,540,5070.9,15.9847,0.003152,0.2107
97,1,1449,572,14181.8,-10.8806,-0.000767,0.0282
97,2,1709,572,14209.7,-1.3606,-9.6e-05,0.8652
97,3,1756,572,14177.7,38.7875,0.002736,0.0
97,4,1364,528,14154.5,81.9592,0.00579,0.0
81,1,1485,585,15397.8,-3.0909,-0.000201,0.3885
81,2,1755,585,15397.8,9.3596,0.000608,0.1678
81,3,1800,585,15397.8,29.2698,0.001901,0.0001
81,4,1395,540,15397.8,71.4803,0.004642,0.0
29,1,1224,483,5576.4,0.7423,0.000133,0.7016
29,2,1451,481,5559.3,6.1092,0.001099,0.1189
29,3,1482,481,5582.6,17.417,0.00312,0.0002
29,4,1151,448,5570.7,21.3942,0.00384,0.01
71,1,1225,482,5718.2,-10.4019,-0.001819,0.1591
71,2,1447,485,5721.1,28.0139,0.004897,0.0005
71,3,1487,484,5709.9,55.799,0.009772,0.0
71,4,1150,446,5722.1,-2.795,-0.000488,0.7536
13,1,1485,585,30774.7,2.0042,6.5e-05,0.7327
13,2,1755,585,30774.7,22.291,0.000724,0.0212
13,3,1800,585,30774.7,49.4749,0.001608,0.0
13,4,1395,540,30774.7,102.2512,0.003323,0.0
1,1,1485,585,19060.0,-47.9554,-0.002516,0.0096
1,2,1755,585,19060.0,-48.3706,-0.002538,0.4489
1,3,1800,585,19060.0,-118.7985,-0.006233,0.0
1,4,1395,540,19060.0,227.9737,0.011961,0.0
10,1,1485,585,18163.3,21.8776,0.001204,0.002
10,2,1755,585,18163.3,-36.9104,-0.002032,0.0001
10,3,1800,585,18163.3,27.0845,0.001491,0.0044
10,4,1395,540,18163.3,25.3147,0.001394,0.0781
24,1,1238,491,6360.3,26.3421,0.004142,0.0
24,2,1480,500,6287.5,1.4911,0.000237,0.214
24,3,1521,497,6275.0,3.6508,0.000582,0.395
24,4,1167,459,6338.4,2.3432,0.00037,0.2986
95,1,1485,585,69564.8,-12.7445,-0.000183,0.2786
95,2,1755,585,69564.8,1.1674,1.7e-05,0.9693
95,3,1800,585,69564.8,76.453,0.001099,0.0199
95,4,1395,540,69564.8,158.2996,0.002276,0.0
79,1,1485,585,21955.8,-30.4643,-0.001388,0.0002
79,2,1755,585,21955.8,15.6831,0.000714,0.1146
79,3,1800,585,21955.8,13.5047,0.000615,0.2153
79,4,1395,540,21955.8,53.8563,0.002453,0.0
26,1,1322,523,7730.8,3.2847,0.000425,0.0056
26,2,1568,529,7703.9,1.4676,0.000191,0.0941
26,3,1604,526,7724.0,-1.9967,-0.000259,0.0812
26,4,1245,484,7711.7,6.8088,0.000883,0.1339
94,1,1293,536,33912.1,4.3219,0.000127,0.1538
94,2,1572,556,32985.8,67.7715,0.002055,0.0
94,3,1567,528,33899.2,9.4161,0.000278,0.1629
94,4,1253,509,32899.3,7.1397,0.000217,0.437
8,1,1485,585,29959.0,-8.219,-0.000274,0.076
8,2,1755,585,29959.0,-25.9869,-0.000867,0.0009
8,3,1800,585,29959.0,-57.3318,-0.001914,0.0
8,4,1395,540,29959.0,78.0275,0.002604,0.0
74,1,1485,585,13829.1,-15.8008,-0.001143,0.0321
74,2,1752,585,13852.4,35.2896,0.002548,0.0
74,3,1799,585,13836.7,78.1642,0.005649,0.0
74,4,1394,540,13838.9,-20.7069,-0.001496,0.0462
33,1,1239,492,6494.9,3.8981,0.0006,0.0569
33,2,1472,496,6460.8,0.9611,0.000149,0.1882
33,3,1511,496,6455.4,1.0471,0.000162,0.447
33,4,1168,451,6472.2,-0.7379,-0.000114,0.7486
52,1,1453,576,1934.8,0.2381,0.000123,0.8047
52,2,1702,565,1951.9,0.5589,0.000286,0.5998
52,3,1753,563,1943.8,0.2066,0.000106,0.874
52,4,1360,528,1941.8,0.6417,0.00033,0.7164
32,1,1359,532,6859.4,2.3888,0.000348,0.2667
32,2,1637,562,6730.2,-0.0899,-1.3e-05,0.8611
32,3,1688,567,6694.4,0.0415,6e-06,0.9458
32,4,1272,492,6884.2,2.5916,0.000376,0.4342
44,1,1267,495,4524.1,-0.6743,-0.000149,0.0832
44,2,1483,498,4567.9,-0.0973,-2.1e-05,0.7408
44,3,1540,510,4511.7,-0.0849,-1.9e-05,0.7692
44,4,1181,460,4559.3,1.7774,0.00039,0.264
80,1,1336,551,12344.0,-0.15,-1.2e-05,0.4898
80,2,1598,546,12199.6,-0.8674,-7.1e-05,0.0001
80,3,1660,547,12046.7,-0.4151,-3.4e-05,0.0573
80,4,1297,513,11948.8,-0.6018,-5e-05,0.5026
2,1,1485,585,43220.2,-52.1511,-0.001207,0.0
2,2,1755,585,43220.2,-52.2105,-0.001208,0.0
2,3,1800,585,43220.2,50.6771,0.001173,0.002
2,4,1395,540,43220.2,57.4028,0.001328,0.0
46,1,1485,585,19571.9,-0.0508,-3e-06,0.9906
46,2,1755,585,19571.9,-14.4256,-0.000737,0.1992
46,3,1800,585,19571.9,-32.005,-0.001635,0.0003
46,4,1395,540,19571.9,18.4399,0.000942,0.1773
23,1,1316,546,23771.6,16.7848,0.000706,0.0029
23,2,1597,545,23151.1,-5.2602,-0.000227,0.0559
23,3,1625,546,23335.5,-16.9042,-0.000724,0.0001
23,4,1236,498,23776.4,-16.381,-0.000689,0.1431
98,1,1362,553,6748.7,-0.0108,-2e-06,0.971
98,2,1551,544,6999.4,-0.8321,-0.000119,0.1592
98,3,1598,544,6968.0,-0.4198,-6e-05,0.2569
98,4,1325,523,6519.1,-1.7592,-0.00027,0.0679
49,1,1044,514,8060.8,-0.2802,-3.5e-05,0.2528
49,2,1192,514,8342.7,-0.5161,-6.2e-05,0.0287
49,3,1276,493,7995.7,-1.0119,-0.000127,0.0
49,4,970,446,8150.7,-2.5995,-0.000319,0.002
91,1,1485,585,33460.6,-61.2791,-0.001831,0.0
91,2,1755,585,33460.6,-66.7043,-0.001994,0.0003
91,3,1800,585,33460.6,-26.2405,-0.000784,0.1286
91,4,1395,540,33460.6,102.1829,0.003054,0.0
96,1,1120,468,14708.3,-4.7098,-0.00032,0.0295
96,2,1312,467,14753.4,-11.0767,-0.000751,0.0505
96,3,1367,476,14825.2,-0.6044,-4.1e-05,0.889
96,4,1055,428,14886.5,4.1249,0.000277,0.5636
83,1,1365,546,3400.6,0.1667,4.9e-05,0.843
83,2,1614,547,3399.3,1.2335,0.000363,0.5444
83,3,1643,546,3420.3,-0.4417,-0.000129,0.6173
83,4,1286,504,3390.7,-2.0597,-0.000607,0.6604
27,1,1279,527,1548.9,0.6513,0.00042,0.4746
27,2,1544,519,1516.7,-1.8187,-0.001199,0.0279
27,3,1586,528,1514.4,-1.6675,-0.001101,0.0974
27,4,1210,489,1538.2,2.5999,0.00169,0.5551
22,1,1277,534,10655.0,-2.9881,-0.00028,0.3812
22,2,1479,513,10870.8,-21.5254,-0.00198,0.0049
22,3,1582,542,10426.3,-5.2305,-0.000502,0.0
22,4,1205,496,10607.3,-0.3208,-3e-05,0.8567
19,1,965,385,1635.4,-0.035,-2.1e-05,0.9009
19,2,1089,374,1698.8,-0.7565,-0.000445,0.0503
19,3,1137,371,1681.7,-0.8092,-0.000481,0.0035
19,4,928,363,1598.2,-0.8584,-0.000537,0.3108
41,1,1231,487,1956.7,-0.0872,-4.5e-05,0.8331
41,2,1481,489,1923.3,-1.6532,-0.00086,0.0027
41,3,1515,495,1928.3,-0.3837,-0.000199,0.3766
41,4,1166,452,1941.2,-1.5058,-0.000776,0.3753
4,1,1485,585,25685.7,-32.8066,-0.001277,0.0
4,2,1755,585,25685.7,-69.3372,-0.002699,0.0
4,3,1800,585,25685.7,18.4658,0.000719,0.0924
4,4,1395,540,25685.7,11.8107,0.00046,0.1492
55,1,1303,511,10805.5,11.5375,0.001068,0.0043
55,2,1526,501,10903.8,43.716,0.004009,0.0
55,3,1556,498,10966.9,6.1612,0.000562,0.1647
55,4,1211,465,10921.3,-53.2871,-0.004879,0.1928
40,1,1485,585,44365.4,-86.0117,-0.001939,0.0
40,2,1755,585,44365.4,-83.836,-0.00189,0.0
40,3,1800,585,44365.4,-136.9952,-0.003088,0.0
40,4,1395,540,44365.4,91.6921,0.002067,0.0
38,1,1485,585,60428.3,-175.5163,-0.002905,0.0
38,2,1755,585,60428.3,-138.1498,-0.002286,0.0
38,3,1800,585,60428.3,-70.7504,-0.001171,0.0085
38,4,1395,540,60428.3,97.3426,0.001611,0.0003
48,1,403,184,1049.9,-6.1415,-0.00585,0.0557
48,2,447,183,1061.8,-0.7483,-0.000705,0.0104
48,3,485,186,1041.9,-0.1431,-0.000137,0.8656
48,4,407,181,1007.6,-2.5565,-0.002537,0.3624
99,1,159,109,147.3,0.7304,0.004957,0.0005
99,2,209,131,150.1,-1.7524,-0.011674,0.0
99,3,323,236,144.4,-1.239,-0.008582,0.0002
99,4,171,161,145.3,-0.12,-0.000826,0.926
93,1,1368,546,26375.3,-33.3002,-0.001263,0.0021
93,2,1613,546,26434.7,-116.887,-0.004422,0.0
93,3,1646,546,26564.5,-79.4825,-0.002992,0.0
93,4,1286,504,26355.9,-20.3146,-0.000771,0.178
90,1,1485,585,44226.1,-134.2211,-0.003035,0.0
90,2,1755,585,44226.1,-221.1957,-0.005001,0.0
90,3,1800,585,44226.1,-75.346,-0.001704,0.0
90,4,1395,540,44226.1,-72.5103,-0.00164,0.0
82,1,1485,585,14649.7,-13.7125,-0.000936,0.0136
82,2,1755,585,14649.7,-158.887,-0.010846,0.0
82,3,1800,585,14649.7,-76.0335,-0.00519,0.0
82,4,1395,540,14649.7,-42.2905,-0.002887,0.038
14,1,1485,585,14533.6,19.2255,0.001323,0.0003
14,2,1755,585,14533.6,-49.9413,-0.003436,0.0
14,3,1800,585,14533.6,-36.8124,-0.002533,0.0001
14,4,1395,540,14533.6,-158.9435,-0.010936,0.0
7,1,1485,585,23274.7,170.2851,0.007316,0.0
7,2,1755,585,23274.7,-39.3587,-0.001691,0.1123
7,3,1800,585,23274.7,-118.3126,-0.005083,0.0001
7,4,1395,540,23274.7,-425.8283,-0.018296,0.0
92,1,1485,585,72675.8,-266.8217,-0.003671,0.0
92,2,1755,585,72675.8,-620.5194,-0.008538,0.0
92,3,1800,585,72675.8,-412.3542,-0.005674,0.0
92,4,1395,540,72675.8,-179.3263,-0.002467,0.0
5,1,1460,585,21512.5,12.0834,0.000562,0.39
5,2,1728,585,21480.8,74.0624,0.003448,0.0062
5,3,1779,585,21400.7,-82.0309,-0.003833,0.0083
5,4,1380,540,21382.2,-283.2645,-0.013248,0.0004
72,1,1400,551,49983.2,-49.2989,-0.000986,0.0968
72,2,1647,555,50212.3,-33.567,-0.000669,0.2103
72,3,1686,548,50308.5,-113.5123,-0.002256,0.0013
72,4,1313,511,50065.2,-1209.3178,-0.024155,0.0
60,1,1309,578,341.7,-0.7108,-0.00208,0.002
60,2,1570,585,341.2,-3.7687,-0.011044,0.0
60,3,1641,585,337.4,-2.0229,-0.005995,0.0
60,4,1252,538,341.2,-4.6486,-0.013625,0.0
59,1,1422,525,783.0,-2.9574,-0.003777,0.0667
59,2,1660,507,792.7,-7.3006,-0.009209,0.0003
59,3,1671,507,805.5,-9.929,-0.012326,0.0
59,4,1353,517,776.3,-7.5723,-0.009755,0.0737
87,1,1477,585,12419.1,-135.4534,-0.010907,0.0
87,2,1735,584,12493.7,-252.5287,-0.020213,0.0
87,3,1787,585,12442.4,-175.0558,-0.014069,0.0
87,4,1392,538,12380.1,-10.4474,-0.000844,0.3291
77,4,89,89,333.3,-3.513,-0.01054,0.1884
18,1,1471,585,6567.4,25.3698,0.003863,0.078
18,2,1202,400,7151.9,-179.8526,-0.025147,0.0
18,3,965,361,7286.5,-109.1669,-0.014982,0.0187
18,4,1391,540,6533.8,-237.0103,-0.036275,0.0
28,1,1417,557,633.3,-2.693,-0.004253,0.0227
28,2,1668,550,635.3,-14.6174,-0.023008,0.0
28,3,1709,552,635.8,-5.6327,-0.008859,0.003
28,4,1330,513,633.7,-24.8431,-0.039204,0.0
54,1,1108,399,140.7,-0.8172,-0.005807,0.0
54,2,1321,393,139.0,-3.9711,-0.02857,0.0
54,3,1308,374,140.1,-1.8267,-0.01304,0.0
54,4,1030,372,140.1,-4.3248,-0.030861,0.0
45,1,503,140,23.4,-0.1254,-0.005366,0.3194
45,2,526,104,23.0,-0.7173,-0.031236,0.0
45,3,482,75,22.3,-0.7778,-0.034915,0.0
45,4,425,126,23.0,-1.5934,-0.069226,0.0001
51,2,496,39,22.8,-0.5829,-0.025571,0.0045
51,3,370,30,24.2,-0.7289,-0.030123,0.0021
78,1,85,23,8.2,0.2018,0.024659,0.5721
